ID,Type,Name,Train ,Test ,Class,Length
1,Image,Adiac,390,391,37,176
2,Image,ArrowHead,36,175,3,251
3,Spectro,Beef,30,30,5,470
4,Image,BeetleFly,20,20,2,512
5,Image,BirdChicken,20,20,2,512
6,Sensor,Car,60,60,4,577
7,Simulated,CBF,30,900,3,128
8,Sensor,ChlorineConcentration,467,3840,3,166
9,Sensor,CinCECGTorso,40,1380,4,1639
10,Spectro,Coffee,28,28,2,286
11,Device,Computers,250,250,2,720
12,Motion,CricketX,390,390,12,300
13,Motion,CricketY,390,390,12,300
14,Motion,CricketZ,390,390,12,300
15,Image,DiatomSizeReduction,16,306,4,345
16,Image,DistalPhalanxOutlineAgeGroup,400,139,3,80
17,Image,DistalPhalanxOutlineCorrect,600,276,2,80
18,Image,DistalPhalanxTW,400,139,6,80
19,Sensor,Earthquakes,322,139,2,512
20,ECG,ECG200,100,100,2,96
21,ECG,ECG5000,500,4500,5,140
22,ECG,ECGFiveDays,23,861,2,136
23,Device,ElectricDevices,8926,7711,7,96
24,Image,FaceAll,560,1690,14,131
25,Image,FaceFour,24,88,4,350
26,Image,FacesUCR,200,2050,14,131
27,Image,FiftyWords,450,455,50,270
28,Image,Fish,175,175,7,463
29,Sensor,FordA,3601,1320,2,500
30,Sensor,FordB,3636,810,2,500
31,Motion,GunPoint1,50,150,2,150
32,Spectro,Ham,109,105,2,431
33,Image,HandOutlines,1000,370,2,2709
34,Motion,Haptics,155,308,5,1092
35,Image,Herring,64,64,2,512
36,Motion,InlineSkate,100,550,7,1882
37,Sensor,InsectWingbeatSound,220,1980,11,256
38,Sensor,ItalyPowerDemand,67,1029,2,24
39,Device,LargeKitchenAppliances,375,375,3,720
40,Sensor,Lightning2,60,61,2,637
41,Sensor,Lightning7,70,73,7,319
42,Simulated,Mallat,55,2345,8,1024
43,Spectro,Meat,60,60,3,448
44,Image,MedicalImages,381,760,10,99
45,Image,MiddlePhalanxOutlineAgeGroup,400,154,3,80
46,Image,MiddlePhalanxOutlineCorrect,600,291,2,80
47,Image,MiddlePhalanxTW,399,154,6,80
48,Sensor,MoteStrain,20,1252,2,84
49,ECG,NonInvasiveFetalECGThorax1,1800,1965,42,750
50,ECG,NonInvasiveFetalECGThorax2,1800,1965,42,750
51,Spectro,OliveOil,30,30,4,570
52,Image,OSULeaf,200,242,6,427
53,Image,PhalangesOutlinesCorrect,1800,858,2,80
54,Sensor,Phoneme,214,1896,39,1024
55,Sensor,Plane,105,105,7,144
56,Image,ProximalPhalanxOutlineAgeGroup,400,205,3,80
57,Image,ProximalPhalanxOutlineCorrect,600,291,2,80
58,Image,ProximalPhalanxTW,400,205,6,80
59,Device,RefrigerationDevices,375,375,3,720
60,Device,ScreenType,375,375,3,720
61,Simulated,ShapeletSim,20,180,2,500
62,Image,ShapesAll,600,600,60,512
63,Device,SmallKitchenAppliances,375,375,3,720
64,Sensor,SonyAIBORobotSurface1,20,601,2,70
65,Sensor,SonyAIBORobotSurface2,27,953,2,65
66,Sensor,StarLightCurves,1000,8236,3,1024
67,Spectro,Strawberry,613,370,2,235
68,Image,SwedishLeaf,500,625,15,128
69,Image,Symbols,25,995,6,398
70,Simulated,SyntheticControl,300,300,6,60
71,Motion,ToeSegmentation1,40,228,2,277
72,Motion,ToeSegmentation2,36,130,2,343
73,Sensor,Trace,100,100,4,275
74,ECG,TwoLeadECG,23,1139,2,82
75,Simulated,TwoPatterns,1000,4000,4,128
76,Motion,UWaveGestureLibraryAll,896,3582,8,945
77,Motion,UWaveGestureLibraryX,896,3582,8,315
78,Motion,UWaveGestureLibraryY,896,3582,8,315
79,Motion,UWaveGestureLibraryZ,896,3582,8,315
80,Sensor,Wafer,1000,6164,2,152
81,Spectro,Wine,57,54,2,234
82,Image,WordSynonyms,267,638,25,270
83,Motion,Worms1,181,77,5,900
84,Motion,WormsTwoClass,181,77,2,900
85,Image,Yoga,300,3000,2,426
86,Device,ACSF1,100,100,10,1460
87,Sensor,AllGestureWiimoteX,300,700,10,Vary
88,Sensor,AllGestureWiimoteY,300,700,10,Vary
89,Sensor,AllGestureWiimoteZ,300,700,10,Vary
90,Simulated,BME,30,150,3,128
91,Traffic,Chinatown,20,343,2,24
92,Image,Crop,7200,16800,24,46
93,Sensor,DodgerLoopDay,78,80,7,288
94,Sensor,DodgerLoopGame,20,138,2,288
95,Sensor,DodgerLoopWeekend,20,138,2,288
96,EOG,EOGHorizontalSignal,362,362,12,1250
97,EOG,EOGVerticalSignal,362,362,12,1250
98,Spectro,EthanolLevel,504,500,4,1751
99,Sensor,FreezerRegularTrain,150,2850,2,301
100,Sensor,FreezerSmallTrain,28,2850,2,301
101,HRM,Fungi,18,186,18,201
102,Trajectory,GestureMidAirD1,208,130,26,Vary
103,Trajectory,GestureMidAirD2,208,130,26,Vary
104,Trajectory,GestureMidAirD3,208,130,26,Vary
105,Sensor,GesturePebbleZ1,132,172,6,Vary
106,Sensor,GesturePebbleZ2,146,158,6,Vary
107,Motion,GunPointAgeSpan,135,316,2,150
108,Motion,GunPointMaleVersusFemale,135,316,2,150
109,Motion,GunPointOldVersusYoung,136,315,2,150
110,Device,HouseTwenty,40,119,2,2000
111,EPG,InsectEPGRegularTrain,62,249,3,601
112,EPG,InsectEPGSmallTrain,17,249,3,601
113,Traffic,MelbournePedestrian,1194,2439,10,24
114,Image,MixedShapesRegularTrain,500,2425,5,1024
115,Image,MixedShapesSmallTrain,100,2425,5,1024
116,Sensor,PickupGestureWiimoteZ,50,50,10,Vary
117,Hemodynamics,PigAirwayPressure,104,208,52,2000
118,Hemodynamics,PigArtPressure,104,208,52,2000
119,Hemodynamics,PigCVP,104,208,52,2000
120,Device,PLAID,537,537,11,Vary
121,Power,PowerCons,180,180,2,144
122,Spectrum,Rock,20,50,4,2844
123,Spectrum,SemgHandGenderCh2,300,600,2,1500
124,Spectrum,SemgHandMovementCh2,450,450,6,1500
125,Spectrum,SemgHandSubjectCh2,450,450,5,1500
126,Sensor,ShakeGestureWiimoteZ,50,50,10,Vary
127,Simulated,SmoothSubspace,150,150,3,15
128,Simulated,UMD,36,144,3,150
